plant_id,plant_group,x_natural_frequency,x_damping_ratio,x_delay_steps,x_friction,x_velocity_scale,y_natural_frequency,y_damping_ratio,y_delay_steps,y_friction,y_velocity_scale,acceleration_limit,velocity_limit,cross_coupling,repeatable_disturbance
P01,held_out_lhs,19.91681672004658,0.639034918902826,1,1.1387757729463726,3.825270344274231,15.84577589011531,0.8030637716097317,5,2.272802091429518,2.292916016739812,706.012668759525,107.2994985717801,0.01083480940562478,0.04651511125958357
P02,held_out_lhs,17.01528557571539,0.6976334127916404,2,1.2178122573654226,3.2241244323136278,16.209296785826858,0.7190944855912474,3,4.027054112870507,3.2394823582536967,723.9980748268487,109.17159668568539,0.057503768761082735,0.062151066567606925
P03,held_out_lhs,15.535563586221564,0.7673993546348742,2,1.018703793141546,2.0509148783692983,15.228541627870865,0.6162939319156474,2,3.2145494518461506,2.20454620624763,818.3014184754762,87.09151248783566,0.04630100426779912,0.026897640108829408
P04,held_out_lhs,17.984739859032388,0.7839986779883052,4,2.137007677148186,3.1303624700831527,13.941750791807658,0.7346405714598736,4,2.7836608196928263,2.1303491283620097,763.5426910505444,91.85916917749289,0.05964506543912276,0.06432462045468561
P05,held_out_lhs,18.28583088706956,0.8069288992568442,4,1.3465627663730153,3.010572643303356,16.922516057162433,0.7421531592394208,5,3.836482835951154,3.1380515155325632,680.098534095914,93.6740536809803,0.053196489286578566,0.03333163003084106
P06,held_out_lhs,18.843884639857773,0.6685713057590875,2,2.585332231978722,2.4222702856676053,13.011031512295881,0.6394370090951663,6,1.837645786231742,3.575244177069912,847.2009998065193,85.80816516080183,0.04428736049715983,0.02410506511189813
P07,held_out_lhs,16.325608288745627,0.6845296045830158,4,3.0033277435498387,2.604579016941004,15.502691330496827,0.6975618533069871,3,3.4314560752350145,2.604011684902579,812.6048801798394,91.23665462801151,0.028292481683095415,0.025389473475113573
P08,held_out_lhs,15.27435060978717,0.7332900954493851,4,3.191785383907372,2.814359189067158,12.334211887407555,0.5899824363382091,3,2.5389772790346394,3.4775034961639344,788.4501802902802,96.77204335403408,0.024656835846569553,0.021674169896820788
P09,held_out_lhs,16.01956531187091,0.6458830457932042,2,3.3415268000156275,2.8576981119557794,11.581565352944486,0.6542872171945697,2,2.861406489014708,2.0078338837340053,899.1167896173893,108.24892383406669,0.042556848811710304,0.04090740469428415
P10,held_out_lhs,17.33997310887177,0.6224683219450925,4,2.887057727670957,3.3993485671288735,13.46012504948341,0.7898719523614699,5,3.646496586467745,2.7970937520034473,765.4671128538371,104.79527734999849,0.0331812712752255,0.05733171621108929
P11,held_out_lhs,18.55570993301975,0.6110515167328097,3,2.3638910722769935,3.92479145512232,13.654674962546343,0.7719532773197425,6,1.7704977576192777,2.535425604132128,692.0528223444941,102.92932154057193,0.048103914883505704,0.07480602397612932
P12,held_out_lhs,16.890948630435012,0.729066772427871,1,1.5683398855773858,2.2199815121529465,12.006422904337407,0.6216993475384728,3,2.4886496849884305,2.8048053083528615,884.9734320319296,89.45447107574273,0.03749960282890507,0.05438040401585678
P13,held_out_lhs,16.749929770405313,0.7722079114898726,2,1.4577342616285078,3.8571652127736487,11.647424431001326,0.6762214278386602,6,3.9240653133673447,2.7006594066679352,690.5026768562785,88.46567206897102,0.023749931047831917,0.06738376952500971
P14,held_out_lhs,17.67892774423366,0.8219592060606618,3,1.9500540606032304,2.976933838007087,15.948436996122819,0.6483704220158174,4,4.095816403368236,3.3334018609325557,653.5725000076651,83.47631737714184,0.020212104234525616,0.06099689145220401
P15,held_out_lhs,15.214163003082762,0.7141279010882271,1,1.661722391080092,2.297513740416944,14.634022385663075,0.68298708827181,3,3.5821318013082415,3.7001904551521427,858.787120139348,112.42961116549868,0.03251757638835123,0.04806328939795011
P16,held_out_lhs,15.793503043480282,0.8191745510501726,3,1.9880060274446547,3.4771609470567153,10.936668537534791,0.7517683896753793,2,2.342259462146276,1.9147541685966714,784.3348307183456,97.69543722570123,0.04104323443687692,0.04469236983591951
P17,held_out_lhs,20.62131553530578,0.7957432078378643,3,3.48962508393245,3.695523718216891,12.852164312577386,0.7223022602515567,5,2.729283744594121,3.0325510007371355,744.3044430255611,81.58099801823518,0.014138837328437027,0.07215108086939745
P18,held_out_lhs,20.983433496386464,0.7078301354096739,3,1.8093739746522823,3.2833299502960047,11.09751909422731,0.6602857573611365,5,3.179301647467267,2.8902702954023356,719.822466069911,101.36061677086995,0.03681801445258191,0.06852716656471393
P19,held_out_lhs,19.14581220111718,0.8315219528328269,4,2.2528430530145513,2.7430092447681704,14.918836845663538,0.7097102555691559,6,2.04414756129572,3.721104142883415,828.5081004225245,103.51559687840046,0.015857746909818476,0.05023943093666359
P20,held_out_lhs,18.07618750268384,0.6595575369556385,1,3.0807645280193032,3.5765037490285962,14.418615391780092,0.7967892309146611,2,1.5199266659567803,2.339709207495607,668.9117962036566,94.97008113126884,0.030362579104415872,0.03098674369719421
P21,held_out_lhs,20.062264715217225,0.7546226016430271,3,2.8254526528351076,2.149292590422736,14.16710187565143,0.5914878911422227,4,2.093670611251581,1.86877503825583,739.7099889917664,114.41989980612286,0.051315890151310925,0.03906559907045889
P22,held_out_lhs,19.672150705179703,0.7418096621400091,2,2.6795729303278675,2.3427605846467654,12.541842862725748,0.7640070863441586,2,3.3217703790645223,3.1196227931584115,852.8494545960566,110.85866845165181,0.02239093856045615,0.052169347228358656
P23,held_out_lhs,19.347447348730654,0.6719399721998753,1,3.532261497157837,2.552852915975857,10.54809785651132,0.8169693571791748,6,2.9629912186416374,3.4061328899986822,877.0967014864751,99.6545139806345,0.01771172852683498,0.03659089715368397
P24,held_out_lhs,20.42442645292612,0.6014473837366429,1,2.4501890767160592,3.6290338560795545,16.71035646206902,0.6073619155735438,4,1.642038021152203,2.4217350616213222,803.2750348511028,81.23999848985943,0.05388388207740093,0.03505423168137186
C01_max_delay,edge_challenge,18.0,0.7,5,2.3,3.0,13.5,0.68,7,2.8,2.8,760.0,95.0,0.035,0.05
C02_low_bandwidth,edge_challenge,14.0,0.7,3,2.3,3.0,9.5,0.68,4,2.8,2.8,760.0,95.0,0.035,0.05
C03_high_asymmetry,edge_challenge,22.0,0.7,1,2.3,3.0,9.0,0.68,7,2.8,2.8,760.0,95.0,0.035,0.05
C04_strong_coupling,edge_challenge,18.0,0.7,3,2.3,3.0,13.5,0.68,4,2.8,2.8,760.0,95.0,0.085,0.05
C05_strong_friction,edge_challenge,18.0,0.7,3,4.5,3.0,13.5,0.68,4,5.2,2.8,760.0,95.0,0.035,0.05
C06_tight_saturation,edge_challenge,18.0,0.7,3,2.3,3.0,13.5,0.68,4,2.8,2.8,560.0,70.0,0.035,0.05
